ID,Continent,Country,Energy_Type,Energy_Production,Year,Month,Income_Level,Area_Type,Implementation_Year,Is_Subsidized,Efficiency_Score
H01502,North America,USA,Hydro,0.6862643439789852,1.0,0.5714285714285714,Low,Urban,0.1428571428571388,False,8.173106393412691e-05
H02587,Australia,Australia,Geothermal,0.3866099820268215,1.0,0.42857142857142855,High,Rural,0.9285714285714448,False,0.06757115710753767
H02654,North America,USA,Biomass,0.7922093184017697,1.0,1.0,Low,Rural,0.5,True,0.16930589893953946
H01056,South America,Colombia,Biomass,0.400200470067745,1.0,0.8571428571428572,High,Urban,0.9285714285714448,False,0.944872397376433
H00706,Africa,Egypt,Hydro,0.15465228812387666,0.5,0.8571428571428572,Middle,Rural,0.0,False,0.1135244478044993
H00107,South America,Brazil,Biomass,0.22483755011751694,0.5,0.14285714285714285,High,Urban,0.07142857142858361,False,0.021474837048691284
H00590,Africa,Ghana,Geothermal,0.34339831328632653,0.0,1.0,High,Rural,0.1428571428571388,True,0.02364071024294559
H02469,Australia,New Zealand,Geothermal,0.48976220102308865,1.0,0.42857142857142855,Low,Urban,0.7142857142857224,True,0.23824605136797372
H02414,South America,Peru,Biomass,0.36012719480160377,0.25,0.7142857142857142,Low,Rural,0.785714285714306,True,0.3857297562371018
H01601,South America,Argentina,Geothermal,0.5537328909166321,0.75,1.0,High,Urban,0.6428571428571388,True,0.19956682536114917
H02465,Europe,Germany,Wind,0.23130789437301258,1.0,1.0,Middle,Urban,0.5714285714285836,False,0.3687909932367545
H00229,Europe,France,Hydro,0.8745748652011615,0.75,0.8571428571428572,Middle,Rural,0.3571428571428612,True,0.6118796101428251
H00916,Asia,South Korea,Wind,0.006484169777409093,0.0,0.5714285714285714,Middle,Rural,0.6428571428571388,True,0.8881919045381175
H00795,South America,Chile,Geothermal,0.6571823586340384,0.25,1.0,Middle,Urban,0.785714285714306,True,0.966449398255042
H03022,Africa,Ghana,Biomass,0.8978086547767178,0.0,0.14285714285714285,Low,Rural,0.1428571428571388,True,0.6740156514987435
H03544,Africa,South Africa,Geothermal,0.4933499239596294,0.5,0.8571428571428572,High,Rural,0.8571428571428612,False,0.7779162665249996
H01074,Asia,India,Wind,0.48025024194663346,1.0,0.5714285714285714,Low,Urban,0.0,True,0.7515784311722279
H03352,Asia,Indonesia,Hydro,0.378798562145721,0.5,0.2857142857142857,High,Rural,0.1428571428571388,True,0.34987025193600463
H01745,Asia,China,Wind,0.4721139223005668,0.5,0.2857142857142857,Low,Rural,0.6428571428571388,True,0.3234711182852823
H01085,Europe,Spain,Solar,0.19750449329462189,0.5,0.14285714285714285,High,Rural,0.2142857142857224,False,0.9793629063566336
H00927,Australia,New Zealand,Solar,0.5738490253007051,1.0,0.42857142857142855,Middle,Urban,0.7142857142857224,False,0.9675732003841361
H03050,Africa,Ghana,Solar,0.8713120420295867,0.0,0.0,High,Rural,0.5714285714285836,False,0.160478944034654
H01118,Europe,Italy,Hydro,0.055246785566155115,0.25,0.42857142857142855,Middle,Urban,0.0,False,0.8384994176661696
